०	0
अच्छ	seemly
अच्छा	hot stuff
अच्छा	good, kind
अच्छाई	niceness
अच्छी	sensible
अछूत	untouchable, Harijan
अछूता	undisturbed, untouched
अजगर	boa constricter, python
अजनबी	stranger
अजनबी	new, perfect
अजनबीपन	strangeness, unfamiliarity
अजब	strange
अजमोद	parsley
अजमोदा	celery
अजय	indomitable, insurmountable
अजरबैजान	Azerbaijan, Azerbajdzhan Republic
अजवाइन	oregano, celery
अजवायन	thyme
अजान	Azaan
अज़ान	Azaan, Adhan
अजायबघर	court, museum
अजित	acquired, earned
अजी	O
अजीत	invincible, wild
अजीब	rum, odd
अजीबोगरीब	twilight
अजीर्ण	crude
अजीर्ण	indigestion, surfeit
अजूबा	portent
अजेय	invincible, unconquerable
अज़ेलिया	azalea
अजैविक	abiotic
अजंडा	order paper, agendas
अज्ञात	undiscovered, obscure
अज्ञातवास	hiding
अज्ञान	unwitting, fond
अज्ञान	bullhead, emptiness
अज्ञानता	ignorance
अज्ञानी	unknowledgeable
अज्ञानी	ignoramus
अज्ञेय	unfathomable, unforeseeable
अज्ञेयवादी	agnostic
अटक	stoppage
अटकना	flounder, pause
अटकल	conceivably
अटकल	conjecture, sumption
अटकलबाजी	conjecture
अटकलबाज़ी	conjecture, guesswork
अटका	entangled
अटकाना	hobble, fasten
अटकाव	obstruction
अटपटा	strange
अटपटापन	awkwardness
अटर्नी	attorney
अटल	steadfast, set
अटलता	unyieldingness, adamance
अटलांटा	atlanta
अटलांटिक	Atlantic
अटारी	attic
अटार्नी	attorney
अटूट	undestroyable, unbreakable
अटैची	attache case, briefcase
अटॉर्नी	attorney
अट्टहास	cachinnation, heehaw
अट्टहास	cachinnate
अट्ठावन	fifty-eight, lviii
अठहत्तर	LXXVIII, 78
अठहत्तर	seventy-eight
अठारह	xviii, eighteen
अठारह	eighteen, XVIII
अठारहवां	eighteenth
अठारहवाँ	eighteenth
अठासी	eighty-eight
अड़चन	hitch, difficulty
अड़चन	logjam, handicap
अडडा	base
अड़तालिस	48
अड़तालीस	xlviii
अड़तालीस	XLVIII
अड़तालीस	forty-eight
अड़तीस	XXXVIII, thirty-eight
अड़तीस	xxxviii, thirty-eight
अड़ना	balk, baulk
अड़सठ	sixty-eight
अड़ानी	catch
अडिग	hell-bent, steady
अडियल	wayward
अड़ियल	mulish, stubborn
